Id;Role;Message;Datetime;Classification;Topic;Change;TimeDelta;TimeDeltaMinutes
0wVyEQMQhi;User;"y entre el bubblesort, el insertionsort y el selectionsort el 
insertionsort es el mas eficiente para ese caso?";2024-05-28 16:03:00;Conceptual Questions;;;0 days 00:00:26;0.43333333333333335
0wVyEQMQhi;User;y si no son 100000, son 10;2024-05-28 16:03:26;Conceptual Questions;;;0 days 00:00:26;0.43333333333333335
0wVyEQMQhi;User;"entonces entre los 3 ultimos nombrados el insertionsort siempre va a ser 
el mas eficiente";2024-05-28 16:03:54;Conceptual Questions;;;0 days 00:00:28;0.4666666666666667
0wVyEQMQhi;User;que es el polimorfismo;2024-05-28 16:18:11;Conceptual Questions;;;0 days 00:14:17;14.283333333333333
0wVyEQMQhi;User;"2.- En un ´arbol binario de b´usqueda que representa los destinos a los 
que vuela una aerol´ınea se inserta la siguiente informaci´on de forma 
secuencial, actuando dicha informaci´on tambi´en como clave (ordenaci´on 
alfab´etica): ""Washington"", ""Toronto"", ""Madrid"", ""Barcelona"", 
""Berlin"", ""Amsterdam"", ""Lisbon"", ¿Cu´al es la altura del ´arbol 
resultante? (a) *** 5 (b) 3 (c) 4 (d) 7";2024-05-28 16:31:54;Multiple Question Exercise;;;0 days 00:13:43;13.716666666666667
0wVyEQMQhi;User;entonces la altura no seria 4?;2024-05-28 16:34:17;Student Correction;;;0 days 00:02:23;2.3833333333333333
0wVyEQMQhi;User;"se podria sacar esa altura 5, poniendo todos los nombres a la derecha 
del arbol y en la izquierda nulls? al ser un arbol binario de busqueda";2024-05-28 16:34:50;Conceptual Questions;;;0 days 00:00:33;0.55
0wVyEQMQhi;User;"6.- En una lista enlazada simple en la que cada nodo conoce ´unicamente 
qui´en es el nodo siguiente, y en la que tenemos una referencia al primer 
nodo (top) y al ´ultimo nodo (tail). Indica cu´al de las siguientes 
operaciones es m´as costosa. (a) *** Extracci´on por el final (b) 
Extracci´on por el principio (c) Inserci´on por el principio (d) 
Inserci´on por el final";2024-05-28 17:02:41;Multiple Question Exercise;;;0 days 00:27:51;27.85
0wVyEQMQhi;User;"7.- Si insertamos uno a uno (y en el orden dado) los nodos con claves 
3,1,2,5,7,4,6 en un ´arbol binario de b´usqueda. ¿Qu´e nodo quedar´ıa 
como hijo izquierdo del nodo cuya clave es 5 despu´es de terminar el 
proceso de inserci´on? (a) *** El nodo cuya clave es 4 (b) El nodo cuya 
clave es 2 (c) El nodo cuya clave es 6 (d) El nodo cuya clave es 5 no 
tendr´ıa hijo izquierdo";2024-05-28 17:08:14;Multiple Question Exercise;;;0 days 00:05:33;5.55
0wVyEQMQhi;User;"19.- Dada una lista enlazada con first referenciando al primer nodo, 
indica qu´e hace el siguiente m´etodo: public void method(E info) { Node 
current = first; while (current!=null) { current = current.getNext(); } 
System.out.println(current.getInfo()); } (a) *** Lanza una 
NullPointerException. (b) Imprime la informaci´on del ´ultimo nodo. (c) 
Imprime la informaci´on del pen´ultimo nodo. (d) Imprime la informaci´on 
de todos los nodos de la lista.";2024-05-28 17:12:12;Multiple Question Exercise;;;0 days 00:03:58;3.966666666666667
0wVyEQMQhi;User;no lanza un nullpointerexception?;2024-05-28 17:12:25;Student Correction;;;0 days 00:00:13;0.21666666666666667
0wVyEQMQhi;User;"public int compareTo(Object other) { Person ido = (Person) other; 
if(this.id.compareTo(ido.getId()) > 0) {     return 1; } else 
if(this.id.compareTo(ido.getId()) < 0) {     return -1; } else {     
return 0; } }";2024-05-28 19:10:23;Debugging Help;;;0 days 01:57:58;117.96666666666667
0wVyEQMQhi;User;"public int compareTo(Person p) { int result = 0; result = this.id - 
p.id; return result; }";2024-05-28 19:11:20;Debugging Help;;;0 days 00:00:57;0.95
0wVyEQMQhi;User;"en un metodo toString si llamo por ejemplo return this.id + this.nombre o 
return getId() + getNombre() es correcto?";2024-05-28 19:13:09;Debugging Help;;;0 days 00:01:49;1.8166666666666667
17S1zEOZLF;User;pop y push que hacen;2024-05-29 13:43:38;Conceptual Questions;Data Structures;No;0 days 00:00:00;0.0
17S1zEOZLF;User;public void selectionSort() {;2024-05-29 13:46:02;Complete Solution;Sorting;Yes;0 days 00:02:24;2.4
17S1zEOZLF;User;"for (PPacket node1 = first; node1 != null; node1 = node1.getLink()) {
PPacket min = node1;
for (PPacket node2 = node1; node2 != null; node2 = node2.getLink()) {";2024-05-29 13:46:05;Code Snippet;Sorting;No;0 days 00:00:03;0.05
17S1zEOZLF;User;"if (min.getPriority() > node2.getPriority()) {
min = node2;
}
}
PPacket temp = new PPacket(node1.getPriority(), null);
node1.setData(min.getPriority());";2024-05-29 13:46:07;Code Snippet;Sorting;No;0 days 00:00:02;0.03333333333333333
1LIlNQ39QR;User;dime la complejidad de los algoritmos selection, inserion , bubble y quicksort;2024-06-23 16:19:35;Conceptual Questions;Sorting;No;0 days 00:00:00;0.0
1LIlNQ39QR;User;ordena el array 5,1,10,9 3 de manera ascendente con quicksort;2024-06-23 16:24:32;Complete Solution;Sorting;No;0 days 00:04:57;4.95
1LIlNQ39QR;User;cuantos pasos son necesarios;2024-06-23 16:25:14;Debugging Help;Sorting;No;0 days 00:00:42;0.7
1LIlNQ39QR;User;haz los pasos sin codigo;2024-06-23 16:25:25;Debugging Help;Sorting;No;0 days 00:00:11;0.18333333333333332
1LIlNQ39QR;User;encuantas operaaciones de intercambio, o swaps has utilizado;2024-06-23 16:26:31;Debugging Help;Sorting;No;0 days 00:01:06;1.1
1LIlNQ39QR;User;necesto que metas un nodo en una cola que esta vacia;2024-06-24 13:44:36;Code Snippet;Data Structures;Yes;0 days 21:18:05;1278.0833333333333
1LIlNQ39QR;User;utiliza el metodo enqueue;2024-06-24 13:45:30;Code Snippet;Data Structures;No;0 days 00:00:54;0.9
1LIlNQ39QR;User;cuando una recursion es por cascada y cuando es anidada;2024-06-24 16:57:17;Conceptual Questions;Recursion;Yes;0 days 03:11:47;191.78333333333333
1LIlNQ39QR;User;para que sirve el distintio final;2024-06-25 07:38:28;Conceptual Questions;Java;Yes;0 days 14:41:11;881.1833333333333
1LIlNQ39QR;User;par que sirve static;2024-06-25 07:39:47;Conceptual Questions;Java;No;0 days 00:01:19;1.3166666666666667
1LIlNQ39QR;User;"en un ejercicio de arboles cuando hay que poner tree.isempty() y cuando vale con
poner isempty() solo";2024-06-25 09:08:11;Conceptual Questions;Data Structures;Yes;0 days 01:28:24;88.4
1LIlNQ39QR;User;cual es el metodo mas eficiente segun las complejidades;2024-06-25 12:30:38;Conceptual Questions;Sorting;Yes;0 days 03:22:27;202.45
1LIlNQ39QR;User;es mas eficiente log n o nlogn;2024-06-25 12:31:00;Conceptual Questions;Sorting;No;0 days 00:00:22;0.36666666666666664
1LIlNQ39QR;User;como se implementa el metodo compareto;2024-06-25 13:46:29;Code Snippet;Java;Yes;0 days 01:15:29;75.48333333333333
1LIlNQ39QR;User;a que se refiere la palabra this en java;2024-06-25 15:52:08;Conceptual Questions;Java;No;0 days 02:05:39;125.65
1LIlNQ39QR;User;COMO FUNCIONA SUPER;2024-06-25 20:45:25;Conceptual Questions;Java;No;0 days 04:53:17;293.28333333333336
1LIlNQ39QR;User;"haz un metodo recursivo que dado un arbol de strings devuelva el numero de nodos
hoja de dicho arbol";2024-06-25 21:52:15;Complete Solution;Recursion;Yes;0 days 01:06:50;66.83333333333333
1LIlNQ39QR;User;como funciona heapsort;2024-06-26 12:14:52;Conceptual Questions;Sorting;Yes;0 days 14:22:37;862.6166666666667
1LIlNQ39QR;User;aplicalo para ordenar 5,3,4,1,2 de menor a mayor;2024-06-26 12:16:24;Complete Solution;Sorting;No;0 days 00:01:32;1.5333333333333334
1LIlNQ39QR;User;explica los swaps sin el codigo;2024-06-26 12:16:42;Debugging Help;Sorting;No;0 days 00:00:18;0.3
1LIlNQ39QR;User;hazlo con el ejemplo;2024-06-26 12:16:56;Debugging Help;Sorting;No;0 days 00:00:14;0.23333333333333334
1LIlNQ39QR;User;cuantos swaps has hecho;2024-06-26 12:20:31;Debugging Help;Sorting;No;0 days 00:03:35;3.5833333333333335
1LIlNQ39QR;User;para que sirve static;2024-06-26 13:01:21;Conceptual Questions;Java;Yes;0 days 00:40:50;40.833333333333336
22Yzxvn53x;User;"int i=0;";2024-06-18 16:41:11;Debugging Help;Java;No;0 days 00:00:00;0.0
22Yzxvn53x;User;"int i=0;";2024-06-18 16:41:19;Debugging Help;Java;No;0 days 00:00:08;0.13333333333333333
22Yzxvn53x;User;"int i=0;";2024-06-18 16:41:30;Debugging Help;Java;No;0 days 00:00:11;0.18333333333333332
22Yzxvn53x;User;"public class prueba {
    public static void main(String[] args) {
        int z=0;
        String s="""";
        while(z<10) {
            s=s+z;
        }
        System.out.println(s);
    }
}";2024-06-18 16:44:05;Debugging Help;Java;No;0 days 00:02:35;2.5833333333333335
2RmRcpyXZC;User;"Recapitulación (1) Dado el siguiente código, selecciona la respuesta correcta:     
    public class Recap1 { 
        public static void m(int[] array) { 
            for(int i = 0;i<array.length;i++) { 
                array[i] = array[i]/2; 
            } 
        } 
        public static void main(String[] args) { 
            int[] myArray = {1,2,3,4}; 
            m(myArray); 
            System.out.println(""The value is: ""+myArray[2]); 
        } 
    }  
    a) Imprime: ""The value is: 1""􏰀 
    b) Imprime: ""The value is: 3"" 
    c) Imprime: ""The value is: 2.5"" 
    d) Imprime: ""The value is: 2"" 
Orientación a Objetos (7) La definición de dos o más métodos con el mismo nombre, pero diferente signatura o firma se llama: 
    a) Sobrecarga/Overloading del método. 􏰀 
    b) Overflowing del método. 
    c) Redefinición/Overwritting del método. 
    d) Recasting del método. 
[...conteúdo adicional omitido para brevidade...]";2024-06-23 17:20:01;Multiple Question Exercise;Object Orientation;No;0 days 00:00:00;0.0
2RmRcpyXZC;User;Explícame el 1;2024-06-23 17:48:28;Conceptual Questions;Object Orientation;No;0 days 00:28:27;28.45
2RmRcpyXZC;User;seria 1 entonces;2024-06-23 17:49:06;Student Correction;Object Orientation;No;0 days 00:00:38;0.6333333333333333
2RmRcpyXZC;User;Explícame cuando se trata de un in order post y pre;2024-06-23 17:50:07;Conceptual Questions;Data Structures;Yes;0 days 00:01:01;1.0166666666666666
3Wt7jbuOtf;User;que hace este codigo;2024-06-16 09:28:41;Uncategorized;Java;No;0 days 00:00:00;0.0
3Wt7jbuOtf;User;"int numbers[] = {1, 2, 3, 4, 5, 6};
int s = 0;
for(int i = 0; i < numbers.length; i++) {
    s += i;
}
System.out.println(s);";2024-06-16 09:28:44;Debugging Help;Java;No;0 days 00:00:03;0.05
3Wt7jbuOtf;User;que da;2024-06-16 09:29:03;Debugging Help;Java;No;0 days 00:00:19;0.31666666666666665
3Wt7jbuOtf;User;porque el primero da 15?;2024-06-16 09:29:25;Debugging Help;Java;No;0 days 00:00:22;0.36666666666666664
3Wt7jbuOtf;User;y porque no es hasta el 6;2024-06-16 09:30:35;Debugging Help;;;0 days 00:01:10;1.1666666666666667
3Wt7jbuOtf;User;entonces que da el primero;2024-06-16 09:31:01;Debugging Help;Java;No;0 days 00:00:26;0.43333333333333335
3Wt7jbuOtf;User;que hace el number.length;2024-06-16 09:34:40;Conceptual Questions;Java;No;0 days 00:03:39;3.65
3Wt7jbuOtf;User;que es una constante;2024-06-16 09:57:28;Conceptual Questions;Java;No;0 days 00:22:48;22.8
3Wt7jbuOtf;User;que es una variable;2024-06-16 09:57:51;Conceptual Questions;Java;No;0 days 00:00:23;0.38333333333333336
3Wt7jbuOtf;User;los operadores se pueden usar con todas las ariables;2024-06-16 09:58:13;Conceptual Questions;Java;No;0 days 00:00:22;0.36666666666666664
3Wt7jbuOtf;User;hazme un resumen;2024-06-16 09:58:39;Uncategorized;Java;No;0 days 00:00:26;0.43333333333333335
3Wt7jbuOtf;User;dime todos los operadores aritmeticos;2024-06-16 09:59:12;Conceptual Questions;Java;No;0 days 00:00:33;0.55
3Wt7jbuOtf;User;ahora los operadores de comparacion;2024-06-16 09:59:38;Conceptual Questions;Java;No;0 days 00:00:26;0.43333333333333335
3Wt7jbuOtf;User;operadores lógicos;2024-06-16 10:00:09;Conceptual Questions;Java;No;0 days 00:00:31;0.5166666666666667
3Wt7jbuOtf;User;entonces con boolean se puede usar el ==;2024-06-16 10:00:35;Conceptual Questions;Java;No;0 days 00:00:26;0.43333333333333335
3Wt7jbuOtf;User;en boolean el < se puede usar?;2024-06-16 10:00:55;Conceptual Questions;Java;No;0 days 00:00:20;0.3333333333333333
3Wt7jbuOtf;User;el  char que tipos de operador puede usar;2024-06-16 10:13:36;Conceptual Questions;Java;No;0 days 00:12:41;12.683333333333334
3Wt7jbuOtf;User;que tipos de datos no pueden usar los operadores aritmeticos;2024-06-16 10:14:45;Conceptual Questions;Java;No;0 days 00:01:09;1.15
3Wt7jbuOtf;User;que tipos de datos no pueden usar los operadores de comparacion;2024-06-16 10:15:10;Conceptual Questions;Java;No;0 days 00:00:25;0.4166666666666667
3Wt7jbuOtf;User;que tipos de datos no pueden usar los operadores logicos;2024-06-16 10:15:50;Conceptual Questions;Java;No;0 days 00:00:40;0.6666666666666666
47yTLTX4gQ;User;what is a NullPointerException;2024-05-29 11:05:50;Conceptual Questions;Java;No;0 days 00:00:00;0.0
5kplABEgoT;User;"public double totalValueAccount(Customer customer) {
    LinkedQueue ordersToProcess = new LinkedQueue();
    double valor;
    if(ordersToProcess != null) {
        for(int i = 0; i < ordersToProcess; i++) {
            if(ordersToProcess.getName.equals(customer)) {
                Order o = customer.getAccount();
                valor += ordersToProcess.enqueue(order);
            }
        }
    }
    return valor;
}";2024-05-28 20:40:15;Debugging Help;Data Structures;No;0 days 00:00:00;0.0
5kplABEgoT;User;en español;2024-05-28 20:40:30;Language change;Data Structures;No;0 days 00:00:15;0.25
5kplABEgoT;User;"public double totalValueAccount(Customer customer) {
    LinkedQueue ordersToProcess = new LinkedQueue();
    double valor = 0.0;
    for(int i = 0; i < ordersToProcess; i++) {
        if(ordersToProcess.getName.equals(customer)) {
            Order o = customer.getAccount();
            valor += ordersToProcess.enqueue(order);
        }
    }
    return valor;
}";2024-05-28 20:41:08;Debugging Help;Data Structures;No;0 days 00:00:38;0.6333333333333333
5kplABEgoT;User;se pueden meter operadores en los parametros de un metodo?;2024-05-28 21:28:23;Conceptual Questions;Java;Yes;0 days 00:47:15;47.25
5kplABEgoT;User;aux.getNext().getNext(9;2024-05-28 22:50:49;Debugging Help;Java;No;0 days 01:22:26;82.43333333333334
5kplABEgoT;User;aux.getNext().getNext();2024-05-28 22:51:00;Debugging Help;Java;No;0 days 00:00:11;0.18333333333333332
5kplABEgoT;User;"public int numOfOcurrences(E info) {
    int result = 0;
    DNode aux = this.first;
    while(aux != last) {
        if(aux.getInfo() == info || end.getInfo() == info) {
            result = 1;
        } else {
            if(aux.getInfo() != info || end.getInfo() != info) {
                result = 0;
            } else {
                result = 2;
            }
        }
    }
    return result;
}";2024-05-28 22:59:41;Debugging Help;Data Structures;Yes;0 days 00:08:41;8.683333333333334
5kplABEgoT;User;"public int numOfOcurrences(E info) {
    int result = 0;
    DNode aux = this.first;
    while(aux != last) {
        if(aux.getInfo() == info || end.getInfo() == info) {
            result = 1;
        } else {
            if(aux.getInfo() != info || end.getInfo() != info) {
                result = 0;
            } else {
                result = 2;
            }
        }
        aux = aux.getNext();
    }
    return result;
}";2024-05-28 23:00:07;Debugging Help;Data Structures;No;0 days 00:00:26;0.43333333333333335
5kplABEgoT;User;"public int numOfOrders(BSTree tree) {
    int pedidos = 0;
    if(!tree.isEmpty()) {
        if(tree.getKey().compareTo(ordersByID.getKey()) == 0) {
            pedidos += 1 + numOfOrders(tree.getLeft()) + numOfOrders(tree.getRight());
        }
    }
    return pedidos
}";2024-05-28 23:30:16;Debugging Help;Data Structures;No;0 days 00:30:09;30.15
5kplABEgoT;User;a ver pero se explica sumamente mal el concepto de key, el key para que se utiliza en java?;2024-05-28 23:30:55;Conceptual Questions;Data Structures;No;0 days 00:00:39;0.65
5kplABEgoT;User;"y porque en mi codigo public int numOfOrders(BSTree tree) {
    int pedidos = 0;
    if(!tree.isEmpty()) {
        if(tree.getKey().compareTo(ordersByID.getKey()) == 0) {
            pedidos += 1 + numOfOrders(tree.getLeft()) + numOfOrders(tree.getRight());
        }
    }
    return pedidos
} la estructura del if estaria mal si estoy indicando que si el arbol tree al conseguir su key es igual comparandolo al otro arbol tendria que devolver toda la lista de pedidos no?";2024-05-28 23:32:26;Debugging Help;Data Structures;No;0 days 00:01:31;1.5166666666666666
5kplABEgoT;User;es decir que como no estoy diciendo de donde viene ordersById, te aseguro que es un private de esa misma clase, entonces no se puede comparar cierto?;2024-05-28 23:33:14;Debugging Help;Data Structures;No;0 days 00:00:48;0.8
7CSAoQtTNV;User;¿Se necesitan las palabras reservadas static y final cuando se declaran variables en una interfaz?;2024-05-30 12:30:23;Conceptual Questions;Java;No;0 days 00:00:00;0.0
82ysiLNthK;User;"El siguiente algoritmo de búsqueda: 
private int search(Comparable[] a, Comparable x, int low, int high) { 
    if (low > high) return -1; 
    int mid = ( low + high ) / 2; 
    if (a[mid].compareTo(x) < 0) 
        return search(a, x, mid + 1, high); 
    else if (a[mid].compareTo(x) > 0) 
        return search(a, x, low, mid - 1); 
    else 
        return mid; 
} 
(a) Es una versión recursiva de búsqueda binaria. 
(b) Es una versión lineal de búsqueda binaria. 
(c) Es una versión recursiva de búsqueda lineal.";2024-06-15 11:17:41;Multiple Question Exercise;Recursion;No;0 days 00:00:00;0.0
82ysiLNthK;User;porque;2024-06-15 11:17:49;Conceptual Questions;Recursion;No;0 days 00:00:08;0.13333333333333333
89YCavi5Fm;User;Hola buenas;2024-05-28 17:29:49;Uncategorized;Data Structures;No;0 days 00:00:00;0.0
89YCavi5Fm;User;"que sale de este codigo? 
stack.push(3) 
stack.push(2) 
stack.push(9) 
stack.push(stack.pop()*stack.pop); 
stack.push(stack.pop()+stack.pop); 
System.out.println(stack.pop());";2024-05-28 17:30:02;Debugging Help;Data Structures;No;0 days 00:00:13;0.21666666666666667
89YCavi5Fm;User;muchas grasias;2024-05-28 17:31:07;Uncategorized;Data Structures;No;0 days 00:01:05;1.0833333333333333
89YCavi5Fm;User;maña es el examen, tu crees que apruebo?;2024-05-28 17:31:30;Uncategorized;Data Structures;No;0 days 00:00:23;0.38333333333333336
89YCavi5Fm;User;para que sirve poner int entre parentesis;2024-05-28 18:45:12;Conceptual Questions;Java;Yes;0 days 01:13:42;73.7
89YCavi5Fm;User;"por ejemplo en setSalary((int) (getSalary()*1.2));";2024-05-28 18:45:24;Debugging Help;Java;No;0 days 00:00:12;0.2
8GCvWIH7Pg;User;hola;2024-06-14 14:18:47;Uncategorized;Data Structures;No;0 days 00:00:00;0.0
8GCvWIH7Pg;User;puedes resolver este examen y decirme la respuesta correcta de cada pregunta;2024-06-14 14:19:08;Uncategorized;Data Structures;No;0 days 00:00:21;0.35
8GCvWIH7Pg;User;A heap is a data structure appropriate for: (a) Efficiently retrieving a datum given its key. (b) Efficiently inserting a node into a linked list. (c) Efficiently retrieving the datum with minimum key. (d) Efficiently implementing stacks and queues;2024-06-14 14:20:46;Multiple Question Exercise;Data Structures;No;0 days 00:01:38;1.6333333333333333
8GCvWIH7Pg;User;If we call the add method in the ContentPane of a window, we are: (a) Adding graphical components to the window. (b) Associating listeners to the ContentPane. (c) Inserting events into a panel. (d) Showing layouts in the program. 3.- The cost of accessing, in terms of computing time, to random intermediate positions in arrays and lists: (a) Does not depend on the size in either case. (b) Depends on the size for both cases. (c) Is independent of the size of the list but depends on the size of the array. (d) Is independent of the size of the array but depends on the size of the list;2024-06-14 14:21:11;Multiple Question Exercise;Data Structures;No;0 days 00:00:25;0.4166666666666667
8GCvWIH7Pg;User;The cost of accessing, in terms of computing time, to random intermediate positions in arrays and lists: (a) Does not depend on the size in either case. (b) Depends on the size for both cases. (c) Is independent of the size of the list but depends on the size of the array. (d) Is independent of the size of the array but depends on the size of the list.;2024-06-14 14:21:38;Multiple Question Exercise;Data Structures;No;0 days 00:00:27;0.45
8GCvWIH7Pg;User;"Given the following code: Something x; (a) Something can be a class. (b) All the other options are correct. (c) Something can be an abstract class. (d) Something can be an interface";2024-06-14 14:25:11;Multiple Question Exercise;Object Orientation;Yes;0 days 00:03:33;3.55
8GCvWIH7Pg;User;When traversing a linked list, how can we know that we are at the last node? (a) It depends on whether the list is full or not. (b) When the first node in the list is also the last. (c) When the current node is null. (d) When the node following the current one is null;2024-06-14 14:25:29;Multiple Question Exercise;Data Structures;Yes;0 days 00:00:18;0.3
8GCvWIH7Pg;User;A recursive method is one that calls itself. . . (a) . . . linearly. (b) . . . directly or indirectly. (c) . . . with a cascading structure. (d) . . . passing no arguments in the call;2024-06-14 14:25:48;Multiple Question Exercise;Recursion;Yes;0 days 00:00:19;0.31666666666666665
8GCvWIH7Pg;User;;2024-06-14 14:26:14;Uncategorized;Recursion;No;0 days 00:00:26;0.43333333333333335
8GCvWIH7Pg;User;For efficiently implementing stacks and queues based on linked lists: (a) It is required to keep two references for a queue and one reference for a stack. (b) It is required to keep two references for a queue and two references for a stack too. (c) It is required to keep one reference for a queue and one reference for a stack too. (d) It is required to keep one reference for a queue and two references for a stack;2024-06-14 14:26:21;Multiple Question Exercise;Data Structures;Yes;0 days 00:00:07;0.11666666666666667
8GCvWIH7Pg;User;why is it not a;2024-06-14 14:26:41;Conceptual Questions;Data Structures;No;0 days 00:00:20;0.3333333333333333
8GCvWIH7Pg;User;If an A method calls the B method, and B calls A, it is a case of: (a) Execution queue. (b) Linear data structure. (c) Non recursive methods. (d) Mutual recursion.;2024-06-14 14:27:10;Multiple Question Exercise;Recursion;Yes;0 days 00:00:29;0.48333333333333334
8GCvWIH7Pg;User;"Given two classes, A and B, so that class B extends A, select which of the following sentences and declarations is incorrect or incompatible with this context: (a) class C extends B ... (b) abstract class A ... (c) None of the other sentences is incorrect or incompatible. (d) A ref = new B();";2024-06-14 14:27:23;Multiple Question Exercise;Object Orientation;Yes;0 days 00:00:13;0.21666666666666667
