Id;Role;Message;Datetime;Classification;Topic;Change;Rol;Mensaje;Fecha
Vh6CqrUJZow2c7T;User;se puede utilizar un scanner para introducir un String sin tener que utilizarlo en el main, es decir, en otro metodo;14:18:41 - 29/01/2025;Code Snippet;Java;No;;;
Vh6CqrUJZow2c7T;User;se puede introducir con el scanner un String que sea un array;14:21:09 - 29/01/2025;Code Snippet;Java;No;;;
Vh6CqrUJZow2c7T;User;introducido un sTRING por el usuario, desarrollar un programa que cuente el numero de vocales;14:22:38 - 29/01/2025;Complete Solution;Java;No;;;
Vh6CqrUJZow2c7T;User;Dado un String lo devuelve sin vocales, respetando mayusculas y minusculas;14:44:14 - 29/01/2025;Complete Solution;Java;No;;;
Vh6CqrUJZow2c7T;User;como concatenar, sTRING;14:47:00 - 29/01/2025;Code Snippet;Java;No;;;
Vh6CqrUJZow2c7T;User;dado un string, contar las vocales;14:55:40 - 29/01/2025;Code Snippet;Java;No;;;
Vh6CqrUJZow2c7T;User;"dado el String ""HoLa QUe Tal"" , desarrollar un programa que cuente el numero de vocales";14:56:31 - 29/01/2025;Complete Solution;Java;No;;;
Vh6CqrUJZow2c7T;User;como convertir un char a minusculas;15:04:23 - 29/01/2025;Code Snippet;Java;No;;;
Vh6CqrUJZow2c7T;User;sobre el programa anterior, ahora desarrollar un programa que elimine las vocales;15:33:40 - 29/01/2025;Complete Solution;Java;No;;;
0h162nwvx8uMFIG;User;que tal, como iban lo de los abstracts en herencia y tal? que reglas siguen y como se implementaban?;14:13:02 - 24/02/2025;Conceptual Question;Object Orientation;No;;;
0h162nwvx8uMFIG;User;osea que se implementaria en la clase hija y ya no? y hay que declararlo antes verdad?;14:16:39 - 24/02/2025;Conceptual Question;Object Orientation;No;;;
0h162nwvx8uMFIG;User;que significaba cuando el tipo de datos era protected?;14:28:55 - 24/02/2025;Conceptual Question;Java;Yes;;;
0h162nwvx8uMFIG;User;y desde donde no puedo acceder? desde otra clase que no herede?;14:29:32 - 24/02/2025;Conceptual Question;Java;No;;;
0h162nwvx8uMFIG;User;los metodos get y set iban dentro del constructor?;14:30:54 - 24/02/2025;Conceptual Question;Java;No;;;
0h162nwvx8uMFIG;User;okey;14:31:12 - 24/02/2025;Uncategorized;Java;No;;;
0h162nwvx8uMFIG;User;Implementa el método area() que devuelva el área del círculo. Haz uso de Math.PI para el cálculo del área. como implementas este metodo?;14:40:30 - 24/02/2025;Code Snippet;Java;No;;;
COIkGWFwUp4gyUA;User;;10:01:27 - 15/02/2025;Uncategorized;Uncategorized;No;;;
COIkGWFwUp4gyUA;User;could you help me for omnet++;10:01:58 - 15/02/2025;Uncategorized;Uncategorized;No;;;
iaHb7UoFrWUIoqP;User;en un switch, cual es su estructura, que hace el break, y el default que funcion realiza;13:11:03 - 15/02/2025;Conceptual Question;Java;No;;;
iaHb7UoFrWUIoqP;User;se puede usar en un switch dos veces el mismo caso con la misma funcion;13:57:52 - 15/02/2025;Conceptual Question;Java;No;;;
xePvKOORNYJAmJ2;User;enseñame un ejemplo de un switch;14:01:14 - 19/02/2025;Code Snippet;Java;No;;;
xePvKOORNYJAmJ2;User;"public String getColor(int color) {         switch(color) {             case 0:                 return ""Blanco"";                 break;             case 1:                 return ""Negro"";                 break;             case 2:                 return ""Azul"";                 break;             case 3:                 return ""verde"";                 break;         }		     }";14:03:04 - 19/02/2025;Debugging Help;Java;No;;;
xePvKOORNYJAmJ2;User;"public String getColor() {         if(color==0)              return ""Blanco""; }   , porque dice que debe devolver un string, si ya lo esta devolviendo";14:07:27 - 19/02/2025;Debugging Help;Java;No;;;
xePvKOORNYJAmJ2;User;como seria el metodo para testear un clase cuenta bancaria, que admite por metodos, en este orden, saldo, Dni, Persona. Para comprobar por ejemplo que al ingresar una cantidad, el saldo es correcto;16:47:30 - 19/02/2025;Code Snippet;Object Orientation;Yes;;;
xePvKOORNYJAmJ2;User;que significa que el compilador te diga que assertEquals is deprecated;16:50:36 - 19/02/2025;Debugging Help;Java;Yes;;;
eZqZyDG5eDflGRJ;User;hay;17:21:03 - 12/02/2025;Uncategorized;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;hey!;17:21:07 - 12/02/2025;Uncategorized;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;me estoy haciendo los labs, como declaraba objetos si ya he creado el public class? aue mas debia hacer?;17:23:06 - 12/02/2025;Code Snippet;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;como se hacia el constructor mas bien;17:24:57 - 12/02/2025;Code Snippet;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;Apartado 1: Constructor de la clase Point Programa un constructor para la clase Point. Debe recibir como parámetros las dos coordenadas del punto.;17:26:05 - 12/02/2025;Code Snippet;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;luego quiero crear un metodo que escriba caracteres, como lo hafo?;17:28:01 - 12/02/2025;Code Snippet;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;pero quiero que imprima las cordenadas de los puntos, como lo puedo hacer?;17:28:35 - 12/02/2025;Code Snippet;Object Orientation;No;;;
eZqZyDG5eDflGRJ;User;"El método String toString() tiene un significado especial en los objetos Java. Es el método que se utiliza para obtener una representación breve como cadena de texto del objeto. Programa el método String toString() de la clase Point para que devuelva una cadena de texto con la representación del punto como en el siguiente ejemplo: ""(23, -3)"". El primer número representa la coordenada x del punto y el segundo la coordenada y.";17:33:18 - 12/02/2025;Code Snippet;Java;Yes;;;
eZqZyDG5eDflGRJ;User;Ahora debes probar el código anterior. Programa una clase llamada TestPoint que tenga un método main.;17:41:39 - 12/02/2025;Complete Solution;Testing;Yes;;;
eZqZyDG5eDflGRJ;User;El programa debe comprobar que el número de argumentos de línea de comandos recibido sea el correcto.;17:47:47 - 12/02/2025;Code Snippet;Java;Yes;;;
eZqZyDG5eDflGRJ;User;Ten en cuenta que el método parseDouble de la clase Double transforma una cadena de texto a un tipo primitivo double.;17:48:31 - 12/02/2025;Code Snippet;Java;No;;;
eZqZyDG5eDflGRJ;User;y que pasaria si yo no meto un double en la variable punto;17:49:16 - 12/02/2025;Conceptual Question;Java;No;;;
eZqZyDG5eDflGRJ;User;y el parsedouble de que me sirve entonces?;17:49:56 - 12/02/2025;Conceptual Question;Java;No;;;
eZqZyDG5eDflGRJ;User;y args que es exactamente? los puntos que les pasamos? que debemos de esperar que de;17:51:53 - 12/02/2025;Conceptual Question;Java;No;;;
eZqZyDG5eDflGRJ;User;ahhh, entonces para eso hago el parsedouble?;17:54:10 - 12/02/2025;Uncategorized;Java;No;;;
eZqZyDG5eDflGRJ;User;pero siempre que paso los objetos que me he creado antes del main al mismo pasan como cadena de caracteres?;17:54:44 - 12/02/2025;Conceptual Question;Java;No;;;
eZqZyDG5eDflGRJ;User;vale;17:55:09 - 12/02/2025;Uncategorized;Java;No;;;
eZqZyDG5eDflGRJ;User;como se hacía para declarar las variables get y set;18:30:36 - 12/02/2025;Code Snippet;Java;No;;;
eZqZyDG5eDflGRJ;User;"public class Point { private double x; private double y; Public Point(double x, double y){ this.x = x; this.y = y;  } public String toString(){  return""("" x + "","" + y "")""); } public int GetPoint(){  return double x,y; } public void SetPoint(int p1, int p2){ this.double x = p1; this.double y = p2;  } esto sería correcto? centrate en los get y los set";18:32:52 - 12/02/2025;Debugging Help;Java;No;;;
eZqZyDG5eDflGRJ;User;ok, mejo se hace por separado no;18:33:12 - 12/02/2025;Debugging Help;Java;No;;;
eZqZyDG5eDflGRJ;User;Programa el siguiente método de la clase Point que devuelva la distancia del punto al origen de coordenadas: public double distance() { /* ... / } Sobrecarga el método anterior con el siguiente método, que recibe como parámetro otro objeto de la clase Point y devuelve la distancia entre el punto representado por el objeto al cual pertenece el método y el objeto recibido como parámetro: public double distance(Point anotherPoint) { / ... */ };18:41:27 - 12/02/2025;Complete Solution;Java;No;;;
eZqZyDG5eDflGRJ;User;Modifica el primer constructor para que cuando se construyan objetos de la clase, estos se uniformicen automáticamente haciendo las siguientes operaciones:  Si el denominador es negativo, multiplica numerador y denominador por -1.;19:01:44 - 12/02/2025;Code Snippet;Java;No;;;
Zz7X6Fnjhihn58D;User;diferencia entre implements y extends;15:11:54 - 08/02/2025;Conceptual Questions;Java;No;;;
8VlHIuhzglbjEiu;User;que tenias que hacer para hacer herencia de objetos? dame algun ejemplo;14:13:25 - 17/02/2025;Code Snippet;Object Orientation;No;;;
8VlHIuhzglbjEiu;User;y para los atributos? dame un ejemplo que conlleve un constructor;14:14:21 - 17/02/2025;Code Snippet;Object Orientation;No;;;
8VlHIuhzglbjEiu;User;gracias;14:15:15 - 17/02/2025;Uncategorized;Object Orientation;No;;;
8VlHIuhzglbjEiu;User;y se puede hacer un doble extend?;14:15:55 - 17/02/2025;Conceptual Question;Java;Yes;;;
8VlHIuhzglbjEiu;User;cuando una clase extiende de otra y luego quiero hacerle otro extend como hago a la hora de poner el super??;15:03:24 - 17/02/2025;Code Snippet;Java;No;;;
8VlHIuhzglbjEiu;User;"public class Person{ private String dni; public Person (String dni){ this.dni = dni;  } public String toString(){ return ""Dni"" + dni "":"";  } } public class Studient extends Person{ private String nia;   public Studient(String nia, String dni){          super(dni);     this.nia = nia;           }    public String toString(){          return super.toString + ""nia:"" + nia;      }  } public class Intern extends Person{ private int salary;  public Intern(). por ejemplo aqui como implementarias intern teniendo en cuenta que solo tiene un atributo privado";15:04:42 - 17/02/2025;Debugging Help;Object Orientation;Yes;;;
8VlHIuhzglbjEiu;User;extiende de studient no de person, perdona;15:05:18 - 17/02/2025;Student Correction;Object Orientation;No;;;
8VlHIuhzglbjEiu;User;"crees que harian falta implementar algun tipo de get o set? solo me pide que implemente una lista que quede tal qur asi: DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C, salary: 2000 DNI: 04040000-D, salary: 1500 DNI: 50500000-E, salary: 1000, department: mathematics DNI: 66600000-F, salary: 2000, department: telematics DNI: 77000000-G, NIA: 777777 DNI: 88080000-H, NIA: 888888 DNI: 90990000-I, NIA: 999999, salary: 400 DNI: 10100000-J, NIA: 101010, salary: 800 DNI: 11110000-K, salary: 2500, department: geography DNI: 12120000-L, salary: 2500, department: mathematics ; java DataBase -s DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C";15:12:53 - 17/02/2025;Code Snippet;Object Orientation;No;;;
8VlHIuhzglbjEiu;User;"public String toString(){     return super.toString() + ""salario:"" + salary; // esto es correcto??ç";15:15:07 - 17/02/2025;Debugging Help;Java;Yes;;;
8VlHIuhzglbjEiu;User;"como uso el main para que me haga esto:  DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C, salary: 2000 DNI: 04040000-D, salary: 1500 DNI: 50500000-E, salary: 1000, department: mathematics DNI: 66600000-F, salary: 2000, department: telematics DNI: 77000000-G, NIA: 777777 DNI: 88080000-H, NIA: 888888 DNI: 90990000-I, NIA: 999999, salary: 400 DNI: 10100000-J, NIA: 101010, salary: 800 DNI: 11110000-K, salary: 2500, department: geography DNI: 12120000-L, salary: 2500, department: mathematics ; java DataBase -s DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C";15:18:28 - 17/02/2025;Code Snippet;Object Orientation;Yes;;;
