Id;Role;Message;Datetime;Classification;Topic;Change;Rol;Mensaje;Fecha;Color;TimeDelta;TimeDeltaMinutes
8VlHIuhzgl;User;"public class Person{ private String dni; public Person (String dni){ this.dni = dni;  } public String toString(){ return ""Dni"" + dni "":"";  } } public class Studient extends Person{ private String nia;   public Studient(String nia, String dni){          super(dni);     this.nia = nia;           }    public String toString(){          return super.toString + ""nia:"" + nia;      }  } public class Intern extends Person{ private int salary;  public Intern(). por ejemplo aqui como implementarias intern teniendo en cuenta que solo tiene un atributo privado";2025-02-17 15:04:42;Debugging Help;Object Orientation;Yes;;;;#A3D9A5;0 days 00:01:18;1.3
8VlHIuhzgl;User;extiende de studient no de person, perdona;2025-02-17 15:05:18;Student Correction;Object Orientation;No;;;;#FED9FD;0 days 00:00:36;0.6
8VlHIuhzgl;User;"crees que harian falta implementar algun tipo de get o set? solo me pide que implemente una lista que quede tal qur asi: DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C, salary: 2000 DNI: 04040000-D, salary: 1500 DNI: 50500000-E, salary: 1000, department: mathematics DNI: 66600000-F, salary: 2000, department: telematics DNI: 77000000-G, NIA: 777777 DNI: 88080000-H, NIA: 888888 DNI: 90990000-I, NIA: 999999, salary: 400 DNI: 10100000-J, NIA: 101010, salary: 800 DNI: 11110000-K, salary: 2500, department: geography DNI: 12120000-L, salary: 2500, department: mathematics ; java DataBase -s DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C";2025-02-17 15:12:53;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:07:35;7.583333333333333
8VlHIuhzgl;User;"public String toString(){     return super.toString() + ""salario:"" + salary; // esto es correcto??ç";2025-02-17 15:15:07;Debugging Help;Java;Yes;;;;#A3D9A5;0 days 00:02:14;2.2333333333333334
8VlHIuhzgl;User;"como uso el main para que me haga esto:  DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C, salary: 2000 DNI: 04040000-D, salary: 1500 DNI: 50500000-E, salary: 1000, department: mathematics DNI: 66600000-F, salary: 2000, department: telematics DNI: 77000000-G, NIA: 777777 DNI: 88080000-H, NIA: 888888 DNI: 90990000-I, NIA: 999999, salary: 400 DNI: 10100000-J, NIA: 101010, salary: 800 DNI: 11110000-K, salary: 2500, department: geography DNI: 12120000-L, salary: 2500, department: mathematics ; java DataBase -s DNI: 01100000-A DNI: 00220000-B DNI: 00030000-C";2025-02-17 15:18:28;Code Snippet;Object Orientation;Yes;;;;#F7F42D;0 days 00:03:21;3.35
COIkGWFwUp;User;;2025-02-15 10:01:27;Uncategorized;Uncategorized;No;;;;#91FC09;0 days 00:00:00;0.0
COIkGWFwUp;User;could you help me for omnet++;2025-02-15 10:01:58;Uncategorized;Uncategorized;No;;;;#91FC09;0 days 00:00:31;0.5166666666666667
P01JTmsEWW;User;cual es el motivo por el que se ponen los getters y setters;2025-02-14 18:10:19;Conceptual Question;Object Orientation;No;;;;#79C7E3;0 days 00:00:00;0.0
Vh6CqrUJZo;User;se puede utilizar un scanner para introducir un String sin tener que utilizarlo en el main, es decir, en otro metodo;2025-01-29 14:18:41;Code Snippet;Java;No;;;;#F7F42D;0 days 00:00:00;0.0
Vh6CqrUJZo;User;se puede introducir con el scanner un String que sea un array;2025-01-29 14:21:09;Code Snippet;Java;No;;;;#F7F42D;0 days 00:02:28;2.466666666666667
Vh6CqrUJZo;User;introducido un sTRING por el usuario, desarrollar un programa que cuente el numero de vocales;2025-01-29 14:22:38;Complete Solution;Java;No;;;;#FF5733;0 days 00:01:29;1.4833333333333334
Vh6CqrUJZo;User;Dado un String lo devuelve sin vocales, respetando mayusculas y minusculas;2025-01-29 14:44:14;Complete Solution;Java;No;;;;#FF5733;0 days 00:21:36;21.6
Vh6CqrUJZo;User;como concatenar, sTRING;2025-01-29 14:47:00;Code Snippet;Java;No;;;;#F7F42D;0 days 00:02:46;2.7666666666666666
Vh6CqrUJZo;User;dado un string, contar las vocales;2025-01-29 14:55:40;Code Snippet;Java;No;;;;#F7F42D;0 days 00:08:40;8.666666666666666
Vh6CqrUJZo;User;"dado el String ""HoLa QUe Tal"" , desarrollar un programa que cuente el numero de vocales";2025-01-29 14:56:31;Complete Solution;Java;No;;;;#FF5733;0 days 00:00:51;0.85
Vh6CqrUJZo;User;como convertir un char a minusculas;2025-01-29 15:04:23;Code Snippet;Java;No;;;;#F7F42D;0 days 00:07:52;7.866666666666666
Vh6CqrUJZo;User;sobre el programa anterior, ahora desarrollar un programa que elimine las vocales;2025-01-29 15:33:40;Complete Solution;Java;No;;;;#FF5733;0 days 00:29:17;29.283333333333335
ZT50sKs6yK;User;Modifica el primer constructor para que cuando se construyan objetos de la clase, estos se uniformicen automáticamente haciendo las siguientes operaciones:  Si el denominador es negativo, multiplica numerador y denominador por -1. ten en cuenta que ya he definido toda la clase;2025-02-12 19:02:48;Complete Solution;Object Orientation;No;;;;#FF5733;0 days 00:00:00;0.0
ZT50sKs6yK;User;"Simplifica la fracción dividiendo numerador y denominador por su máximo común divisor. Probablemente sea una buena decisión de diseño crear un método auxiliar privado que implemente estas operaciones, e invocarlo desde el constructor. Para calcular el máximo común divisor de dos números puedes copiar el siguiente método en tu clase: private int gcd() { int a = /* put here the attribute that represents the numerator / int b = / put here the attribute that represents the denominator */ while (b != 0) { int tmp = b; b = a % b; a = tmp; } if (a < 0) { a = -a; } return a; }";2025-02-12 19:04:25;Complete Solution;Object Orientation;No;;;;#FF5733;0 days 00:01:37;1.6166666666666667
Zz7X6Fnjhi;User;diferencia entre implements y extends;2025-02-08 15:11:54;Conceptual Questions;Java;No;;;;;0 days 00:00:00;0.0
eZqZyDG5eD;User;hay;2025-02-12 17:21:03;Uncategorized;Object Orientation;No;;;;#91FC09;0 days 00:00:00;0.0
eZqZyDG5eD;User;hey!;2025-02-12 17:21:07;Uncategorized;Object Orientation;No;;;;#91FC09;0 days 00:00:04;0.06666666666666667
eZqZyDG5eD;User;me estoy haciendo los labs, como declaraba objetos si ya he creado el public class? aue mas debia hacer?;2025-02-12 17:23:06;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:01:59;1.9833333333333334
eZqZyDG5eD;User;como se hacia el constructor mas bien;2025-02-12 17:24:57;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:01:51;1.85
eZqZyDG5eD;User;Apartado 1: Constructor de la clase Point Programa un constructor para la clase Point. Debe recibir como parámetros las dos coordenadas del punto.;2025-02-12 17:26:05;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:01:08;1.1333333333333333
eZqZyDG5eD;User;luego quiero crear un metodo que escriba caracteres, como lo hafo?;2025-02-12 17:28:01;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:01:56;1.9333333333333333
eZqZyDG5eD;User;pero quiero que imprima las cordenadas de los puntos, como lo puedo hacer?;2025-02-12 17:28:35;Code Snippet;Object Orientation;No;;;;#F7F42D;0 days 00:00:34;0.5666666666666667
eZqZyDG5eD;User;"El método String toString() tiene un significado especial en los objetos Java. Es el método que se utiliza para obtener una representación breve como cadena de texto del objeto. Programa el método String toString() de la clase Point para que devuelva una cadena de texto con la representación del punto como en el siguiente ejemplo: ""(23, -3)"". El primer número representa la coordenada x del punto y el segundo la coordenada y.";2025-02-12 17:33:18;Code Snippet;Java;Yes;;;;#F7F42D;0 days 00:04:43;4.716666666666667
eZqZyDG5eD;User;Ahora debes probar el código anterior. Programa una clase llamada TestPoint que tenga un método main.;2025-02-12 17:41:39;Complete Solution;Testing;Yes;;;;#FF5733;0 days 00:08:21;8.35
eZqZyDG5eD;User;El programa debe comprobar que el número de argumentos de línea de comandos recibido sea el correcto.;2025-02-12 17:47:47;Code Snippet;Java;Yes;;;;#F7F42D;0 days 00:06:08;6.133333333333334
eZqZyDG5eD;User;Ten en cuenta que el método parseDouble de la clase Double transforma una cadena de texto a un tipo primitivo double.;2025-02-12 17:48:31;Code Snippet;Java;No;;;;#F7F42D;0 days 00:00:44;0.7333333333333333
eZqZyDG5eD;User;y que pasaria si yo no meto un double en la variable punto;2025-02-12 17:49:16;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:00:45;0.75
eZqZyDG5eD;User;y el parsedouble de que me sirve entonces?;2025-02-12 17:49:56;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:00:40;0.6666666666666666
eZqZyDG5eD;User;y args que es exactamente? los puntos que les pasamos? que debemos de esperar que de;2025-02-12 17:51:53;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:01:57;1.95
eZqZyDG5eD;User;ahhh, entonces para eso hago el parsedouble?;2025-02-12 17:54:10;Uncategorized;Java;No;;;;#91FC09;0 days 00:02:17;2.283333333333333
eZqZyDG5eD;User;pero siempre que paso los objetos que me he creado antes del main al mismo pasan como cadena de caracteres?;2025-02-12 17:54:44;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:00:34;0.5666666666666667
eZqZyDG5eD;User;vale;2025-02-12 17:55:09;Uncategorized;Java;No;;;;#91FC09;0 days 00:00:25;0.4166666666666667
eZqZyDG5eD;User;como se hacía para declarar las variables get y set;2025-02-12 18:30:36;Code Snippet;Java;No;;;;#F7F42D;0 days 00:35:27;35.45
eZqZyDG5eD;User;"public class Point { private double x; private double y; Public Point(double x, double y){ this.x = x; this.y = y;  } public String toString(){  return""("" x + "","" + y "")""); } public int GetPoint(){  return double x,y; } public void SetPoint(int p1, int p2){ this.double x = p1; this.double y = p2;  } esto sería correcto? centrate en los get y los set";2025-02-12 18:32:52;Debugging Help;Java;No;;;;#A3D9A5;0 days 00:02:16;2.2666666666666666
eZqZyDG5eD;User;ok, mejo se hace por separado no;2025-02-12 18:33:12;Debugging Help;Java;No;;;;#A3D9A5;0 days 00:00:20;0.3333333333333333
eZqZyDG5eD;User;Programa el siguiente método de la clase Point que devuelva la distancia del punto al origen de coordenadas: public double distance() { /* ... / } Sobrecarga el método anterior con el siguiente método, que recibe como parámetro otro objeto de la clase Point y devuelve la distancia entre el punto representado por el objeto al cual pertenece el método y el objeto recibido como parámetro: public double distance(Point anotherPoint) { / ... */ };2025-02-12 18:41:27;Complete Solution;Java;No;;;;#FF5733;0 days 00:08:15;8.25
eZqZyDG5eD;User;Modifica el primer constructor para que cuando se construyan objetos de la clase, estos se uniformicen automáticamente haciendo las siguientes operaciones:  Si el denominador es negativo, multiplica numerador y denominador por -1.;2025-02-12 19:01:44;Code Snippet;Java;No;;;;#F7F42D;0 days 00:20:17;20.283333333333335
iaHb7UoFrW;User;en un switch, cual es su estructura, que hace el break, y el default que funcion realiza;2025-02-15 13:11:03;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:00:00;0.0
iaHb7UoFrW;User;se puede usar en un switch dos veces el mismo caso con la misma funcion;2025-02-15 13:57:52;Conceptual Question;Java;No;;;;#79C7E3;0 days 00:46:49;46.81666666666667
luRhTnFYJh;User;en el assert equals que habia que poner;2025-03-03 14:33:54;Code Snippet;Testing;No;;;;#F7F42D;0 days 00:00:00;0.0
luRhTnFYJh;User;como miro que clses tengo en eclipse? me han desaparecido;2025-03-03 15:19:12;Debugging Help;Testing;No;;;;#A3D9A5;0 days 00:45:18;45.3
luRhTnFYJh;User;"import static org.junit.jupiter.api.Assertions.*; import org.junit.jupiter.api.Test; public class MyClassTest {     private static Stream() {         return Stream.of(                 Arguments.of(4,2),                 Arguments.of(25,5),                 Arguments.of(121,11)); } @ParameterizedTest @MethodSource()     public void testSquare(  ,  ) { } }";2025-03-03 15:25:18;Debugging Help;Testing;No;;;;#A3D9A5;0 days 00:06:06;6.1
luRhTnFYJh;User;"Dada la siguiente clase que calcula el cuadrado de un número: public class MyClass { public MyClass() { } public int square(int i) { return i * i; } } Se pide ejecutar los siguientes casos de prueba: Entrada Salida 2 4 5 25 11 121 Para ello se debe utilizar las anotaciones de JUnit que permiten ejecutar un test con diferentes valores de entrada (Parametrizados). Se puede usar la siguiente plantilla para este ejercicio: import static org.junit.jupiter.api.Assertions.*; import java.util.stream.Stream; import org.junit.jupiter.params.ParameterizedTest; import org.junit.jupiter.params.provider.Arguments; import org.junit.jupiter.params.provider.MethodSource; public class MyClassTest { private static Stream __() { return Stream.of( Arguments.of(, ), Arguments.of(, ), Arguments.of(, )); } @ParameterizedTest @MethodSource(__) public void testSquare(______, __________) {   } }  estoy haciendo esto pero todo el codigo del testing me esta dando errores, ya me he definido las clases con los constructores etc";2025-03-03 15:33:38;Complete Solution;Java;Yes;;;;#FF5733;0 days 00:08:20;8.333333333333334
luRhTnFYJh;User;"public class MyClass {     private int input,expected;     public MyClass(int iinput, int expected) {         this.input = input;         this.expected = expected; }     public static int square(int i) {         return i * i; } }  da errores otra vez, ten en cuenta que hemos definido myclass previamente";2025-03-03 15:35:22;Debugging Help;Java;No;;;;#A3D9A5;0 days 00:01:44;1.7333333333333334
luRhTnFYJh;User;y luego la clase testing como seria;2025-03-03 15:35:44;Complete Solution;Testing;Yes;;;;#FF5733;0 days 00:00:22;0.36666666666666664
luRhTnFYJh;User;que estaba haciendo mal?;2025-03-03 15:36:53;Debugging Help;Testing;No;;;;#A3D9A5;0 days 00:01:09;1.15
xePvKOORNY;User;enseñame un ejemplo de un switch;2025-02-19 14:01:14;Code Snippet;Java;No;;;;#F7F42D;0 days 00:00:00;0.0
xePvKOORNY;User;"public String getColor(int color) {         switch(color) {             case 0:                 return ""Blanco"";                 break;             case 1:                 return ""Negro"";                 break;             case 2:                 return ""Azul"";                 break;             case 3:                 return ""verde"";                 break;         }		     }";2025-02-19 14:03:04;Debugging Help;Java;No;;;;#A3D9A5;0 days 00:01:50;1.8333333333333333
xePvKOORNY;User;"public String getColor() {         if(color==0)              return ""Blanco""; }   , porque dice que debe devolver un string, si ya lo esta devolviendo";2025-02-19 14:07:27;Debugging Help;Java;No;;;;#A3D9A5;0 days 00:04:23;4.383333333333334
xePvKOORNY;User;como seria el metodo para testear un clase cuenta bancaria, que admite por metodos, en este orden, saldo, Dni, Persona. Para comprobar por ejemplo que al ingresar una cantidad, el saldo es correcto;2025-02-19 16:47:30;Code Snippet;Object Orientation;Yes;;;;#F7F42D;0 days 02:40:03;160.05
xePvKOORNY;User;que significa que el compilador te diga que assertEquals is deprecated;2025-02-19 16:50:36;Debugging Help;Java;Yes;;;;#A3D9A5;0 days 00:03:06;3.1
