User,Number of Sessions
07985737-d02a-11ee-8b1c-cfed6e0e153b,1.5
079aaafc-d02a-11ee-8667-054159ce797a,1.0
079d9254-000c-11f0-bff0-79ccf6d2215f,1.0
07b19877-07ed-11ef-a875-41bc3644f01f,1.0
07c7537d-4ec8-11ef-97a2-8d216e803e66,1.0
07cb7ad8-e30f-11ef-8702-1907b95bafec,1.0
07ced8f2-e30f-11ef-a66e-f31104b701a5,1.0
07e13475-000c-11f0-960b-edfcd070cc01,1.0
07eb0fa3-a66d-11ee-b0b6-0fc38695257d,1.0
07ed4676-96ee-11ef-99aa-650a730f9228,1.0
07fe9b53-96ee-11ef-aa46-03f1ce35990a,1.0
080e8173-d9a1-11ef-ae57-7d2927aafc93,1.0
08171d1d-d9a1-11ef-98d4-7d2927aafc93,1.0
0838a727-e30f-11ef-b6cd-5fc876857f0b,1.0
083aba26-e30f-11ef-843d-2967956e1029,1.0
08481e8b-000c-11f0-a7d6-17fbaaf61d9f,1.0
085fd979-07ed-11ef-8d8a-e7003524de3a,1.0
0876f8ec-d9a1-11ef-9c67-8fd3844ac594,1.0
087ce6c6-d9a1-11ef-a526-27ecbad221ec,1.0
08829f16-e30f-11ef-b683-5fc876857f0b,1.0
088336e0-e30f-11ef-9598-f31104b701a5,1.0
0893f01a-d02a-11ee-96a4-15d5a1d6ff1e,1.0
08c09cc7-d9a1-11ef-b8ec-8fd3844ac594,1.0
08e4513b-d9a1-11ef-b7e7-27ecbad221ec,1.0
08f603ec-87b0-11ee-99f6-85e000f9cde0,1.0
090cba6c-d9a1-11ef-9a80-8fd3844ac594,1.0
09482b61-d9a1-11ef-a25f-7d2927aafc93,1.0
094a4f52-d9a1-11ef-aba3-8fd3844ac594,1.0
095b21e1-e30f-11ef-b5d1-2793d934ae26,1.0
0974a197-0ca4-11ef-86d0-cfb30595e5e6,1.0
09790e47-e30f-11ef-b937-2793d934ae26,1.4444444444444444
09896bbc-e30f-11ef-adec-875e0467dc43,1.0
09b7b83a-d9a1-11ef-b8ff-27ecbad221ec,1.0
09c1e24a-e30f-11ef-9e35-65d258a699f2,1.0
09c336a8-d02a-11ee-9912-abc3336e886b,2.0
09c83f7a-d02a-11ee-986b-65ffc28aaf19,1.0
09f7f31b-1002-11f0-a3db-a310f439d273,1.0
0a0490cf-e30f-11ef-a301-65d258a699f2,1.0
0a04dc4f-e30f-11ef-b18f-2793d934ae26,1.0
0a1a5697-d9a1-11ef-8230-ef41290ab887,1.0
0a410713-d9a1-11ef-8ec6-e13e47db392a,1.0
0a5694fb-7c47-11ef-8dec-99ef04f3d298,1.0
0a823bb1-000c-11f0-ac40-675d6386f2f2,1.0
0a98bdce-e30f-11ef-a6ce-17dd272319b9,1.0
0aca980b-d9a1-11ef-b3bb-dbcc41162252,1.0
0ade3e77-e30f-11ef-bf91-2793d934ae26,1.0
0b0ed61a-d9a1-11ef-8dd2-514262dd5ec1,1.0
0b0ef0b5-d9a1-11ef-995f-8fd3844ac594,2.0
0b117d7a-d9a1-11ef-b554-792cf0fa9b97,1.0
0b330e27-e30f-11ef-9184-a1a0d7dfc274,1.5
0b5518a4-e30f-11ef-b19f-5fc876857f0b,1.0
0b59ae4d-e30f-11ef-a811-65d258a699f2,1.0
0b5e7dc1-96ee-11ef-9925-432d62b22619,1.0
0b6033a0-96ee-11ef-97a6-9d7cf6bcc22b,1.0
0b969c81-d9a1-11ef-a7c0-d5355124239a,1.0
0bf53f42-000c-11f0-8693-edfcd070cc01,1.0
0bf6a886-d9a1-11ef-a4d5-579107f162c5,1.0
0c18b284-d9a1-11ef-8aee-dbcc41162252,1.0
0c2d8f37-c5f2-11ee-accf-07f224ff977a,1.0
0c46f7e4-d9a1-11ef-b25a-dbcc41162252,1.0
0c49d5fd-e30f-11ef-958b-5fc876857f0b,1.5
0c5eb84c-d9a1-11ef-9000-5d6869391c47,1.0
0c622eac-d9a1-11ef-8973-514262dd5ec1,1.0
0c6aabff-e30f-11ef-95e0-53e63baa492d,2.0
0c8ce5b2-d9a1-11ef-938f-dbcc41162252,1.0
0c96d01d-87b0-11ee-a6a9-d7acbb0efe09,1.0
0cfce0f0-e30f-11ef-9d10-6717a8fede92,1.0
0d14756e-d9a1-11ef-a221-39b6038380e6,1.0
0d477963-96ee-11ef-b49c-2d2341cd1427,1.0
0d760f06-d9a1-11ef-8e2c-27556e249c09,1.0
0d7d91cd-d9a1-11ef-b5bb-d5355124239a,1.0
0d7f843a-d9a1-11ef-a182-13408dba8100,1.0
0d804aee-e30f-11ef-943a-2793d934ae26,1.0
0e07da24-e30f-11ef-9062-f31104b701a5,1.0
0e0eade5-a66d-11ee-a80f-c3cddb8f59dd,1.0
0e4cb62f-e30f-11ef-aa27-5fc876857f0b,1.0
0e550e47-d9a1-11ef-b877-e9ffa1360de8,1.0
0e61ed93-e30f-11ef-94c1-875e0467dc43,1.0
0e92cc6f-d9a1-11ef-87c1-e9ffa1360de8,1.0
0e947534-d9a1-11ef-810e-dbcc41162252,1.0
0e9596ad-d9a1-11ef-b6f2-d5355124239a,1.0
0eaa5237-e30f-11ef-9324-1907b95bafec,1.0
0ed78584-d9a1-11ef-a47b-e9ffa1360de8,1.0
0ee0e794-96ee-11ef-83c7-7f13ec4166d1,1.0
0efa08cc-d9a1-11ef-af9d-37fed3af47e8,2.25
0efa0def-d9a1-11ef-896a-fb85156d48ac,1.0
0efed09e-e30f-11ef-a5ae-65d258a699f2,1.0
0f1bf079-d9a1-11ef-a86f-5d6869391c47,1.6666666666666667
0f43950a-d9a1-11ef-ad16-a357ab374df0,3.0
0f4f6cda-e30f-11ef-9513-afe2c67a34d7,1.0
0f68c725-d9a1-11ef-9bb4-39b6038380e6,1.0
0f8896c4-d9a1-11ef-9469-d5355124239a,1.0
0fa48311-e30f-11ef-a325-f31104b701a5,1.0
0fbbc7e3-a66d-11ee-8464-5f83e8860ac1,1.0
0fc07b42-e30f-11ef-862e-6717a8fede92,2.0
0fc71f27-e30f-11ef-8eb4-213eabe3b5af,1.0
0fd9ae49-d9a1-11ef-a983-5d6869391c47,1.0
10020252-e30f-11ef-ad07-afe2c67a34d7,1.0
102094dd-e30f-11ef-9e30-ddf103a8910a,1.0
104dbf9b-a66d-11ee-985e-9937e2e4b61a,1.4444444444444444
10949f4e-e30f-11ef-af4b-8f64ee577861,1.5
10a67ab1-d9a1-11ef-aadc-49f8f0bbc71c,1.0
1114ec54-e30f-11ef-9830-4b290f2bd34d,1.0
1131f515-e30f-11ef-89a0-a5b167a01479,1.5
113271c5-e30f-11ef-8c8c-19a17c73a3f1,1.0
1170547a-e30f-11ef-8034-4b290f2bd34d,1.0
11781100-d9a1-11ef-8960-39b6038380e6,1.0
11933769-e30f-11ef-b690-8f64ee577861,1.0
119c42d9-d9a1-11ef-aa01-5d6869391c47,1.0
11c51cc9-d9a1-11ef-bb64-4f9b02044700,1.0
11d5c90c-e30f-11ef-8320-ddf103a8910a,1.0
11ebea71-c141-11ee-9cf1-23866b4e39de,1.0
1211fc01-d9a1-11ef-846f-37fed3af47e8,1.0
121699fa-e30f-11ef-9d6f-afe2c67a34d7,1.0
1227ada0-d9a1-11ef-ade6-39b6038380e6,2.0
122bc301-c5f2-11ee-a7cd-3f4b10bb751c,1.0
122eb485-a66d-11ee-be4f-dd7494a8038b,1.0
1238ff03-e30f-11ef-82f2-53e63baa492d,1.0
127a8f1d-96ee-11ef-a801-bb5ff0c900eb,1.0
127ed9d9-e30f-11ef-85ec-ddf103a8910a,1.0
127f1655-e30f-11ef-86ac-5fc876857f0b,1.0
129bde1a-e30f-11ef-99fb-53e63baa492d,1.0
12a9c128-c141-11ee-bdfc-ed6556609cb6,1.0
12b66c5d-e30f-11ef-ae0a-3990e056a77e,1.0
12b6c018-e30f-11ef-8d42-53e63baa492d,1.5
12d743ac-e30f-11ef-8d02-afe2c67a34d7,1.0
12e1a491-e30f-11ef-8c72-ddf103a8910a,1.0
130198ad-e30f-11ef-876a-a5b167a01479,1.0
1305cd56-e30f-11ef-9960-53e63baa492d,2.0
13141082-96ee-11ef-bd9f-c1b14134ca3f,1.2
131508c9-87b0-11ee-859a-bbaf86afe6b6,1.0
13178e98-d9a1-11ef-a5ee-99800fd10620,2.0
131eb495-e30f-11ef-8c88-3990e056a77e,1.0
133d5d1a-e30f-11ef-828b-ddf103a8910a,1.0
135ba9ae-d9a1-11ef-aff6-6ba29ada1d7a,1.0
136b204d-e30f-11ef-907e-f31104b701a5,1.0
136d4b8a-94fe-11ee-9f01-c1e191166135,1.0
1384deac-d9a1-11ef-9d0c-8fd3844ac594,1.0
1384eaec-d9a1-11ef-860a-6ba29ada1d7a,1.0
1388e11c-e30f-11ef-8c39-ddf103a8910a,2.0
13ab4a44-87af-11ee-945d-33f3de93faa9,1.5
13abb790-e30f-11ef-9bd8-a5b167a01479,2.0
13ac6d1e-e30f-11ef-b5ae-afe2c67a34d7,1.0
13c87d14-d9a1-11ef-b7ad-6ba29ada1d7a,1.0
13c978ca-d9a1-11ef-b36d-49f8f0bbc71c,1.4
13cd138e-e30f-11ef-bba4-f31104b701a5,1.0
13e7d98d-d9a1-11ef-9e83-fb85156d48ac,1.0
13f3a96f-e30f-11ef-bbd4-5fc876857f0b,1.0
14073cd1-d9a1-11ef-88ff-39b6038380e6,2.0
1409d6ed-d9a1-11ef-a275-9fd4fd740a01,1.0
141631a0-e30f-11ef-993d-8f64ee577861,1.0
1487fce4-e30f-11ef-bbef-35c9480a1f3f,1.0
14a96079-e30f-11ef-b845-17dd272319b9,1.0
14ae608b-d9a1-11ef-ad6f-13408dba8100,1.0
14cef9f1-e30f-11ef-a7da-53e63baa492d,1.0
14dcd908-d9a1-11ef-a43f-39b6038380e6,1.0
14de7701-d9a1-11ef-a7f6-514262dd5ec1,1.0
14f023b1-e30f-11ef-b3a4-875e0467dc43,1.0
15178408-e30f-11ef-bd62-19a17c73a3f1,1.0
15243aba-96ee-11ef-b795-9d7cf6bcc22b,1.0
15260fe2-87af-11ee-97c0-c7194e2b053a,1.0
15288ccd-d9a1-11ef-a9a1-0b90bfd97c80,1.0
153bf64f-87af-11ee-a76c-4950d880aa6b,1.0
1540c5c1-87b0-11ee-a472-2b1d0885071f,2.0
1545cbad-a66d-11ee-a4d2-c32fa58522b9,2.0
15584a40-e30f-11ef-9e8f-75dad709dc05,1.0
155fe4bf-94fe-11ee-a7bf-43ef1a171e0f,1.5
157b933c-e30f-11ef-a81b-75fd7f8e6fd6,1.0
15962b4b-e30f-11ef-8b85-75fd7f8e6fd6,1.5
15aa5bfd-d9a1-11ef-9fd9-33318965822e,1.0
15dadcf3-87b0-11ee-8408-6d5040aca22f,1.0
15e26531-e30f-11ef-baab-431e644ad6f4,1.0
15f34f95-87af-11ee-bc3c-b3542f744263,1.0
15f43e4c-d9a1-11ef-9775-9fd4fd740a01,1.0
15f492b6-d9a1-11ef-bd2d-13408dba8100,1.0
16042564-87b0-11ee-b2ca-8b895acfa303,1.0
1619d1e7-d9a1-11ef-9071-11c300d297d7,1.0
161d4520-d9a1-11ef-b3c0-fb85156d48ac,1.0
16237cd1-0efa-11f0-aa85-9da3f8b98c63,1.0
164a1afe-e30f-11ef-8042-75dad709dc05,1.0
1663719d-e30f-11ef-8739-1907b95bafec,1.0
16721eec-0efa-11f0-ab61-59e9f11e6792,1.0
167d9da7-87af-11ee-9e31-3fda0428ff79,1.0
1686f0e8-e30f-11ef-8fbc-75fd7f8e6fd6,1.0
16914dec-e30f-11ef-88ca-53e63baa492d,1.0
169c37d8-96ee-11ef-a4c3-03f1ce35990a,1.0
16c2f68a-87af-11ee-b336-a34456479055,1.0
16d36a8b-e30f-11ef-b7be-75dad709dc05,1.0
16d49946-e30f-11ef-b3ae-7968c04787cf,2.0
17025211-96ee-11ef-946b-b191aee5103c,1.0
17147c88-e30f-11ef-9713-7968c04787cf,1.0
17838245-0efa-11f0-8482-cb18a4e9a023,1.0
17a42d70-0efa-11f0-b8de-271d53d8ca8f,1.0
17c8342c-0efa-11f0-bcaf-b9d94b634bb1,1.0
17cd984b-0efa-11f0-847e-278851d1f776,1.0
17d980ae-e30f-11ef-ac3f-75fd7f8e6fd6,1.0
18010133-e30f-11ef-a1e0-17dd272319b9,1.0
18115fc8-0efa-11f0-9fac-271d53d8ca8f,1.0
181c3564-96ee-11ef-9444-3d2269521b56,1.0
18239500-87b0-11ee-ad32-91d0ff8c2ae8,1.0
1823bf7d-e30f-11ef-8a48-4b290f2bd34d,1.0
1829636a-e30f-11ef-a4fc-19a17c73a3f1,1.0
182e25b5-0efa-11f0-a660-19f8c27908e1,1.0
185255b4-d9a1-11ef-8bac-579107f162c5,1.0
185c677e-87af-11ee-8db3-1196eebe7cfc,1.0
186b4e8f-e138-11ee-91d8-77caa320e264,1.6666666666666667
188130ab-96ee-11ef-9d67-d16415050836,1.0
1885afcd-d9a1-11ef-ad1f-27556e249c09,2.0
188ab6e6-e30f-11ef-a2df-75fd7f8e6fd6,3.0
188b64f9-96ee-11ef-b98a-0deadceb4de1,1.0
18929466-0efa-11f0-9663-719c1c4bd867,1.0
18bbfc2f-0efa-11f0-b1fa-a12967a056e9,1.0
18bed552-87af-11ee-b900-23bd046534df,1.0
1909e712-896b-11ee-980e-1d94b3470d92,1.0
191529b2-e30f-11ef-9bb8-ddf103a8910a,1.0
1931b8c1-96ee-11ef-83f6-3bf10093c5a9,1.0
1933ec2f-d9a1-11ef-83a9-514262dd5ec1,1.0
197708ed-d9a1-11ef-9029-27556e249c09,1.0
19a18141-d9a1-11ef-bd42-e13e47db392a,1.0
19a18cc5-a66d-11ee-9ad3-ad517d50dbb5,1.0
19a36a39-96ee-11ef-bb60-976d2563cf46,1.3333333333333333
19baf24d-96ee-11ef-9c37-0506a06238b1,1.0
1a1c9197-96ee-11ef-bc40-d16415050836,1.0
1a3e06bb-e30f-11ef-bf7f-1907b95bafec,1.5
1a610491-e30f-11ef-bcf6-17dd272319b9,1.0
1ac74645-e30f-11ef-b2c5-b5f1f56dd164,1.0
1acc33f2-87af-11ee-93ec-f15634ef6b75,1.0
1b22c3d0-e30f-11ef-a992-afe2c67a34d7,1.0
1b6205d3-e30f-11ef-bb30-7968c04787cf,1.0
1b63ce06-e30f-11ef-8118-2967956e1029,1.0
1b73c820-a66d-11ee-9503-af9b495c0d41,1.6666666666666667
1b7dcb43-96ee-11ef-8089-ab9878b42587,1.0
1b9e9c2d-96ee-11ef-9616-0506a06238b1,1.0
1c7be732-4601-11ef-b676-f76a74ddb3bb,1.0
1c8c0d98-87af-11ee-9605-f30dd2de4340,1.0
1cc32b54-4601-11ef-b321-f76a74ddb3bb,1.0
1d6f251a-4601-11ef-a8fa-6db31f2c18ab,1.0
1d7aa247-96ee-11ef-beed-77c9d4dd9b76,1.0
1df6d0a1-4601-11ef-9be7-ed5834d1c7d6,1.0
1dfbd347-96ee-11ef-a3e6-77c9d4dd9b76,1.0
1e0f4f68-87b0-11ee-b22d-c14a6c4c1780,1.0
1e30333a-a66d-11ee-b305-d5c89324515c,1.0
1e845b85-96ee-11ef-91ee-77c9d4dd9b76,1.0
1fe1cd8d-96ee-11ef-8190-7f13ec4166d1,1.0
200209a7-96ee-11ef-98f6-7f13ec4166d1,1.0
20c576b1-e5f3-11ee-b743-1ff3745570c5,1.5
2148918b-edf9-11ef-be17-e51392634454,1.0
214c4a90-edf9-11ef-9183-f7ac6ef6659b,1.0
216480c2-37dc-11ef-bc03-db9219e3d002,1.0
216f9ec7-e5f3-11ee-bec3-c52977807b83,2.0
218c2678-96ee-11ef-b978-3d2269521b56,1.0
2190f491-edf9-11ef-baa0-f9c86a20c84e,1.0
21eb177c-c460-11ee-ad91-e37c57453b2e,1.0
221ee0a8-96ee-11ef-9341-c1b14134ca3f,2.0
22290d7e-edf9-11ef-a3f0-69eaa98c137f,1.0
2273012d-edf9-11ef-b6bf-7d9b20265de2,1.0
2279f83e-edf9-11ef-b6c9-9b6e6ea2ec07,1.3333333333333333
22b6d638-edf9-11ef-9816-13834bcdbcae,1.0
22b9dc77-edf9-11ef-bd26-7d9b20265de2,2.0
22d9a180-37dc-11ef-b16c-5f0526456149,1.0
22db20b0-edf9-11ef-95da-b7b882427e3c,1.0
22dcbc4c-edf9-11ef-b120-13834bcdbcae,1.0
22f04011-3325-11ef-b29b-21490540d3d3,1.0
231323b1-96ee-11ef-9364-ab9878b42587,1.0
231c9191-edf9-11ef-87c1-b7b882427e3c,1.0
2335e4ce-96ee-11ef-a0da-ab9878b42587,1.0
236738f0-87af-11ee-90f2-ad67c4d84646,1.0
2398dc33-37dc-11ef-9efc-ff923b6558ca,1.0
239ff93b-37dc-11ef-a31b-b56746b1a683,1.0
23d80d98-96ee-11ef-806f-ab9878b42587,1.0
240c14de-c460-11ee-b4fd-73108008adba,1.25
24600c81-edf9-11ef-b0bc-7d9b20265de2,1.5
2460bd2d-edf9-11ef-8f5e-e54889c2a75b,1.0
2462000c-96ee-11ef-bcb8-3d2269521b56,1.0
24d3d383-87af-11ee-a6cb-ad67c4d84646,1.0
24f69d28-edf9-11ef-8acc-01ab426bfb65,1.0
2526e9b2-c460-11ee-97a4-a3e2cddd70f1,1.0
253a49bd-c460-11ee-adfc-b55ecb6ac947,1.0
25636898-96ee-11ef-ad44-6fe804336e99,2.0
2564dc70-96ee-11ef-b4d6-77c9d4dd9b76,1.0
25688be7-96ee-11ef-9c4f-976d2563cf46,1.0
258d5716-edf9-11ef-95e7-516e7418405f,1.0
25d6b119-edf9-11ef-b88a-f9c86a20c84e,1.0
25f73046-96ee-11ef-86c8-ab9878b42587,2.0
25fbed27-edf9-11ef-87ec-9b6e6ea2ec07,2.0
25fbee44-edf9-11ef-9905-7d9b20265de2,1.0
2620bcad-edf9-11ef-ae3f-516e7418405f,1.0
263ae5e0-87af-11ee-bd36-c7194e2b053a,2.0
264577ca-edf9-11ef-b0e0-f9c86a20c84e,1.0
26694cd9-edf9-11ef-9fed-e51392634454,1.0
266d6545-edf9-11ef-9a3d-e54889c2a75b,1.0
2677e0ce-87b0-11ee-b77b-b7631fc4454a,1.0
268fb7b5-edf9-11ef-9982-3d673af9f2cf,2.0
269182ac-edf9-11ef-8673-930bff8f3a84,2.0
26b862c8-edf9-11ef-bc48-930bff8f3a84,1.0
26e50852-87af-11ee-a79a-53c5162f89cb,1.0
2700410c-edf9-11ef-b86f-7d9b20265de2,1.0
2745a6e0-edf9-11ef-bdba-d53b980f1141,1.0
27728da8-edf9-11ef-9506-9b6e6ea2ec07,1.0
27769087-96ee-11ef-ad47-976d2563cf46,1.0
27b8843f-edf9-11ef-bd44-b5b8ac1659df,1.0
27c978d7-87b0-11ee-9f44-8540968a4aab,1.0
27e4260c-edf9-11ef-b2cd-f72927add136,1.0
27e5257a-edf9-11ef-866a-e51392634454,2.0
28513fa3-edf9-11ef-b287-f72927add136,1.0
28777a31-edf9-11ef-8672-7d9b20265de2,1.0
28ab4649-87b0-11ee-acc3-2b1d0885071f,1.0
290ffa64-edf9-11ef-b992-67660d934615,1.0
29156b9f-87af-11ee-b7bb-7f241295132f,1.0
29a5f8c3-edf9-11ef-aa88-3955af1868fd,1.0
29a8c05a-edf9-11ef-8bd2-69a4e232a2a8,1.0
29f0f228-edf9-11ef-9529-69a4e232a2a8,1.0
29f64241-edf9-11ef-bcd4-b5b8ac1659df,2.0
2a25b28f-87af-11ee-81a6-e9621c3afa30,1.0
2a3cae16-edf9-11ef-a80c-b5b8ac1659df,1.0
2a61f8d2-edf9-11ef-8df3-7d9b20265de2,1.0
2a881a27-87af-11ee-b6c3-9de8ebbd66f9,1.0
2aad528c-edf9-11ef-b1a0-4d6da9ecb0c1,1.0
2ac6b54e-87af-11ee-9efc-570c46a73669,1.0
2ae915c3-96ee-11ef-9774-0506a06238b1,1.0
2b1a1cdd-edf9-11ef-96be-7d9b20265de2,1.0
2b1bb4b1-edf9-11ef-92ed-69397a5c9d11,1.0
2b24abbd-87af-11ee-95a0-9de8ebbd66f9,2.0
2b296b31-87af-11ee-8d27-570c46a73669,1.0
2b4faba8-edf9-11ef-8be4-4d6da9ecb0c1,1.0
2b6d5acb-edf9-11ef-a73a-69397a5c9d11,1.0
2bb269fc-d284-11ee-8b62-6bf879700666,1.0
2bfcbe49-96ee-11ef-8c4e-bb5ff0c900eb,1.0
2c1bfcdd-96ee-11ef-8442-3d2269521b56,1.0
2c2a4d61-edf9-11ef-bd5a-7d9b20265de2,1.0
2c2b1195-edf9-11ef-a389-cf930d6dd3d0,1.0
2c31bdf3-d284-11ee-aa76-6bf879700666,1.0
2c42778e-d4e1-11ee-b15f-5f775879289f,1.0
2c744209-edf9-11ef-b110-f72927add136,1.0
2c96fb4a-d284-11ee-b67b-37736c650107,1.0
2ce71f61-edf9-11ef-bd6b-9b6e6ea2ec07,1.0
2cf1c967-87af-11ee-b8bb-1196eebe7cfc,1.2857142857142858
2d084a1d-edf9-11ef-b620-e1bd546932f5,1.0
2d171b39-87af-11ee-9e9d-e383dbaa74d1,1.0
2d1a6a19-d4e1-11ee-96cb-7102011e42a4,1.0
2d1b7de7-96ee-11ef-8c42-0506a06238b1,1.0
2d846144-e88f-11ef-be40-73567ee18e8f,1.0
2d9dffc1-96ee-11ef-bb92-ab9878b42587,1.0
2da82376-edf9-11ef-9110-f7ac6ef6659b,1.0
2dac434b-e88f-11ef-8df1-93c43c88a150,1.0
2db05014-edf9-11ef-b6b3-4d6da9ecb0c1,1.0
2dd96033-d4e1-11ee-a1cb-85b4a2d96a7f,1.0
2df2e3f6-edf9-11ef-b0f1-9b6e6ea2ec07,1.0
2df6aa65-87b0-11ee-9d2e-37a3308de0be,1.0
2e1aa9a4-e88f-11ef-bd0a-73567ee18e8f,2.0
2e3cf1e8-e88f-11ef-a88b-93c43c88a150,1.0
2e3f7294-edf9-11ef-baaa-f7ac6ef6659b,1.5
2e4049ea-e88f-11ef-a5a3-99765e4fe29f,1.0
2e415821-edf9-11ef-b8c0-27b3f68b7afa,1.0
2e44034b-d4e1-11ee-97e6-5f775879289f,2.0
